timestamp,pergunta,modelo,tokens_prompt,tokens_resposta,tokens_total,latencia_s,tokens_por_segundo,sucesso
2026-02-27 16:47:28,me indique um investimento de acordo com meu perfil!,GPT OSS 120B,362,273,635,0.85,319.8,True
2026-02-27 16:47:29,me indique um investimento de acordo com meu perfil!,LLaMA 70B VERSATILE,397,228,625,0.97,236.0,True
2026-02-27 16:47:30,me indique um investimento de acordo com meu perfil!,Kimi K2 - Moonshot AI,412,245,657,1.04,234.7,True
2026-02-27 16:47:32,me indique um investimento de acordo com meu perfil!,Qwen3-32B - Alibaba Cloud,373,441,814,2.02,217.9,True
2026-02-27 16:47:33,me indique um investimento de acordo com meu perfil!,GPT OSS 20B ,362,249,611,1.43,174.5,True
2026-02-27 16:49:24,"Olá, como vai?",GPT OSS 120B,357,213,570,0.69,307.8,True
2026-02-27 16:49:26,"Olá, como vai?",LLaMA 70B VERSATILE,391,295,686,1.3,226.8,True
2026-02-27 16:49:26,"Olá, como vai?",Kimi K2 - Moonshot AI,403,30,433,0.37,80.4,True
2026-02-27 16:49:27,"Olá, como vai?",Qwen3-32B - Alibaba Cloud,367,242,609,0.91,265.4,True
2026-02-27 16:49:28,"Olá, como vai?",GPT OSS 20B,357,218,575,1.0,218.0,True
2026-02-27 19:33:53,qual inestimento você me recomendaria?,GPT OSS 120B,361,292,653,0.91,320.7,True
2026-02-27 19:33:54,qual inestimento você me recomendaria?,LLaMA 70B VERSATILE,395,327,722,1.32,246.9,True
2026-02-27 19:33:56,qual inestimento você me recomendaria?,Kimi K2 - Moonshot AI,407,343,750,1.71,200.4,True
2026-02-27 19:33:57,qual inestimento você me recomendaria?,Qwen3-32B - Alibaba Cloud,371,312,683,0.87,359.0,True
2026-02-27 19:33:58,qual inestimento você me recomendaria?,GPT OSS 20B,361,351,712,0.59,596.8,True
2026-02-28 15:57:36,quais investimentos são recomendados para mim hoje?,GPT OSS 120B,362,228,590,0.91,250.3,True
2026-02-28 15:57:37,quais investimentos são recomendados para mim hoje?,Qwen3-32B - Alibaba Cloud,372,377,749,1.09,347.1,True
2026-02-28 16:00:15,quais investimentos são recomendados para mim hoje?,GPT OSS 120B,362,277,639,0.8,344.2,True
2026-02-28 16:00:16,quais investimentos são recomendados para mim hoje?,Qwen3-32B - Alibaba Cloud,372,388,760,1.11,348.5,True
2026-02-28 16:00:32,quais investimentos são recomendados para mim hoje?,GPT OSS 120B,362,309,671,0.88,352.2,True
2026-02-28 16:00:33,quais investimentos são recomendados para mim hoje?,GPT OSS 20B,362,278,640,1.08,256.9,True
2026-03-01 00:11:01,Onde devo investir o meu dinheiro? ,GPT OSS 120B,360,287,647,1.05,273.9,True
2026-03-01 00:11:02,Onde devo investir o meu dinheiro? ,GPT OSS 20B,360,457,817,0.73,626.9,True
2026-03-01 00:11:03,Onde devo investir o meu dinheiro? ,LLaMA 70B VERSATILE,396,313,709,1.29,242.8,True
2026-03-01 00:11:05,Onde devo investir o meu dinheiro? ,Kimi K2 - Moonshot AI,411,387,798,1.89,204.7,True
